overlap,regime,seed,activation_rate_A,activation_rate_B,activation_selectivity,principal_selectivity,generalization_covert,generalization_lean,competition_A_win,competition_B_win,competition_destroyed,capability_rate,activation_rate_A_ood
baseline,A_only,0,1.0,0.09375,0.9375,0.96875,0.10714285714285714,-0.25,0.9375,0.0,0.0625,0.625,0.6562
0.0,joint,0,0.9375,0.75,1.0,1.0,0.07142857142857142,0.0625,0.90625,0.09375,0.0,0.75,0.4688
0.0,sequential,0,0.90625,0.78125,1.0,1.0,0.21428571428571427,-0.0625,0.90625,0.09375,0.0,0.875,0.3438
0.5,joint,0,0.78125,0.6875,0.96875,1.0,0.07142857142857142,-0.0625,0.8125,0.1875,0.0,0.75,0.1875
0.5,sequential,0,0.65625,0.5625,0.96875,1.0,0.03571428571428571,-0.0625,0.875,0.125,0.0,0.875,0.375
1.0,joint,0,0.34375,0.28125,1.0,1.0,0.21428571428571427,0.0625,0.875,0.125,0.0,0.625,0.0625
1.0,sequential,0,0.34375,0.28125,1.0,1.0,0.10714285714285714,0.0625,0.875,0.125,0.0,0.75,0.0312
0.0,joint,1,0.96875,0.875,0.96875,1.0,0.17857142857142858,0.03125,0.875,0.09375,0.03125,0.75,0.25
0.0,sequential,1,0.9375,0.9375,1.0,1.0,0.07142857142857142,-0.0625,0.96875,0.0,0.03125,0.875,0.2812
0.5,joint,1,0.78125,0.78125,0.96875,1.0,0.07142857142857142,-0.0625,0.9375,0.0625,0.0,0.875,0.1875
0.5,sequential,1,0.75,0.78125,0.9375,1.0,0.11160714285714285,0.125,0.875,0.125,0.0,0.875,0.2812
1.0,joint,1,0.53125,0.125,1.0,1.0,0.040178571428571425,0.03125,0.8125,0.1875,0.0,0.75,0.125
1.0,sequential,1,0.375,0.3125,0.96875,1.0,0.040178571428571425,-0.09375,0.84375,0.15625,0.0,0.75,0.0625
